Platform,Month,Trend,Trend Type,Music,Video Style,Theme,Part of Song,Video length in S,Music Genre,Post Type,Audience Demographics,Engagement Rate (%)
Facebook,2023/01,Feel The Beat,"Montage, Story",Feel The Beat - DJ Spin (2023),Photo/Video Compilation,Lifestyle,Chorus,45,House,Short Video,18-35 Urban,7.2
Facebook,2023/02,Stay Strong,"Motivational, Vlog",Stay Strong - The Resilient (2023),Selfie Video,Motivation,Beginning,60,Pop,Inspirational Video,25-40 Professionals,9.3
Facebook,2023/03,Run The Show,"Dance, Challenge",Run The Show - Jace & Crew (2022),Dance Video,Entertainment,Pre-Chorus,30,Dance/Electronic,Live Video,16-30 Youth,8.8
Facebook,2023/03,Nature Calls,"Montage, Travel",Whispers of the Wild - EnviroBeats (2021),Photo/Video Compilation,Travel,Instrumental,45,Classical,Reel,20-50 Outdoor Enthusiasts,6.5
Facebook,2023/04,Throwback Tunes,"Montage, Vlog",Golden Days - Retro Hits (1985),Photo/Video Compilation,Nostalgia,Prelude,50,Indie,Story,30-45 Mixed,10.1
Facebook,2023/05,Summer Jam,"Montage, Party",Sunshine Groove - Tropical Beats (2023),Photo/Video Compilation,Party,Chorus,60,Latin Pop,Event Post,18-35 Vacationers,12.7
Facebook,2023/06,Fitness Goals,"Montage, Vlog",Push It - Gym Tunes (2022),Selfie Video,Fitness,Bridge,45,Hip-Hop/Rap,Reel,20-35 Fitness Enthusiasts,11.9
Facebook,2023/07,Wedding Bliss,"Montage, Celebration",Forever Yours - Love Beats (2023),Photo/Video Compilation,Romance,Chorus,60,R&B/Soul,Photo Album,25-45 Couples,14.5
Facebook,2023/08,Back To School,"Transition, Informative",Ready to Learn - Future Minds (2023),Photo/Video Compilation,Education,Verse,40,Pop,Post Series,12-18 Students,10.2
Facebook,2023/09,Fall Vibes,"Montage, Vlog",Autumn Serenity - Folk Tracks (2022),Photo/Video Compilation,Seasonal,Beginning,45,Indie,Reel,20-50 General Audience,8.0
Facebook,2023/10,Team Spirit,"Hashtag + Challenge","We Will Win - Sporty Anthem (2023)",Selfie Video,Sports,Chorus,50,Rock,Live Video,18-45 Sports Fans,15.3
Facebook,2023/11,Holidays Around,"Montage, Vlog","Jingle Groove - Festive Hits (2022)",Photo/Video Compilation,Seasonal,Chorus,60,Pop,Event Post,All Ages,20.0
Facebook,2023/12,New Year Dreams,"Motivational, Montage","New Year - Rise and Shine (2023)",Photo/Video Compilation,Motivation,Bridge,50,Pop,Reel,25-50 Mixed Audience,18.6
Facebook,2023/01,Workout Energy,"Montage, Vlog","Pump It Up - Gym Beats (2023)",Photo/Video Compilation,Fitness,Instrumental,30,Dance/Electronic,Story,20-35 Fitness Enthusiasts,9.4
Facebook,2023/02,Travel Tales,"Montage, Story","Wanderlust - Explore Beats (2023)",Photo/Video Compilation,Travel,Pre-Chorus,60,Indie,Reel,25-50 Travelers,12.1
Facebook,2023/03,Pet Adventures,"Montage, Vlog","Furry Fun - Animal Beats (2023)",Photo/Video Compilation,Lifestyle,Chorus,45,Pop,Photo Album,All Ages,17.5
Facebook,2023/04,Spring Blossoms,"Montage, Nature","Bloom Beats - Nature Mix (2023)",Photo/Video Compilation,Nature,Instrumental,50,Classical,Reel,18-55 General Audience,8.3
Facebook,2023/05,Cooking Hacks,"Informative, Tutorial","Kitchen Groove - Chef Mix (2023)",Selfie Video,Cooking,Beginning,40,Pop,Post Series,20-50 Home Chefs,13.8
Facebook,2023/06,Festival Joy,"Dance, Celebration","Dance of Lights - Festival Beats (2023)",Photo/Video Compilation,Celebration,Chorus,60,Latin Pop,Event Post,All Ages,14.9
Facebook,2023/07,Beach Days,"Montage, Travel","Ocean Waves - Chill Vibes (2023)",Photo/Video Compilation,Lifestyle,Bridge,60,Indie,Reel,18-40 Vacationers,12.3
Facebook,2023/08,Book Club,"Informative, Vlog","Read On - Knowledge Beats (2023)",Selfie Video,Education,Prelude,45,Pop,Post Series,25-60 Book Enthusiasts,9.7
Facebook,2023/09,Autumn Colors,"Montage, Story","Golden Leaves - Fall Mix (2023)",Photo/Video Compilation,Nature,Beginning,40,Classical,Reel,18-50 General Audience,7.5
Facebook,2023/10,DIY Creations,"Tutorial, Informative","Craft It - Creative Beats (2023)",Selfie Video,DIY,Chorus,45,Pop,Post Series,20-45 Hobbyists,10.4
Facebook,2023/11,Thanksgiving Feast,"Vlog, Celebration","Harvest Harmony - Festive Mix (2023)",Photo/Video Compilation,Seasonal,Chorus,60,R&B/Soul,Photo Album,25-55 Families,16.8
Facebook,2023/12,Winter Wonderland,"Montage, Nature","Snow Serenity - Winter Beats (2023)",Photo/Video Compilation,Nature,Pre-Chorus,50,Classical,Reel,18-55 General Audience,13.0
Facebook,2023/01,Valentine's Day,"Celebration, Romance","Love Song - Forever Beats (2023)",Photo/Video Compilation,Romance,Beginning,50,Pop,Event Post,All Ages,18.5
